code,description,label
PF61,Evento de intención no determinada en transporte terrestre que causa traumatismo a usuario de medio de locomoción para peatones y se desconoce si ocurrió en el tránsito y en la vía pública,PF61 - Evento de intención no determinada en transporte terrestre que causa traumatismo a usuario de medio de locomoción para peatones y se desconoce si ocurrió en el tránsito y en la vía pública
PF62,Evento de intención no determinada en transporte terrestre que causa traumatismo a un ciclista y se desconoce si ocurrió en el tránsito y en la vía pública,PF62 - Evento de intención no determinada en transporte terrestre que causa traumatismo a un ciclista y se desconoce si ocurrió en el tránsito y en la vía pública
PF63,Evento de intención no determinada en transporte terrestre que causa traumatismo a un motociclista y se desconoce si ocurrió en el tránsito y en la vía pública,PF63 - Evento de intención no determinada en transporte terrestre que causa traumatismo a un motociclista y se desconoce si ocurrió en el tránsito y en la vía pública
PF64,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de automóvil y se desconoce si ocurrió en el tránsito y en la vía pública,PF64 - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de automóvil y se desconoce si ocurrió en el tránsito y en la vía pública
PF65,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de autobús o autocar y se desconoce si ocurrió en el tránsito y en la vía pública,PF65 - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de autobús o autocar y se desconoce si ocurrió en el tránsito y en la vía pública
PF66,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo de carga liviana y se desconoce si ocurrió en el tránsito y en la vía pública,PF66 - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo de carga liviana y se desconoce si ocurrió en el tránsito y en la vía pública
PF67,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo de carga pesada y se desconoce si ocurrió en el tránsito y en la vía pública,PF67 - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo de carga pesada y se desconoce si ocurrió en el tránsito y en la vía pública
PF68,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de tranvía y se desconoce si ocurrió en el tránsito y en la vía pública,PF68 - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de tranvía y se desconoce si ocurrió en el tránsito y en la vía pública
PF69,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo de pasajeros de baja potencia y se desconoce si ocurrió en el tránsito y en la vía pública,PF69 - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo de pasajeros de baja potencia y se desconoce si ocurrió en el tránsito y en la vía pública
PF6A,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo especial usado principalmente en agricultura y se desconoce si ocurrió en el tránsito y en la vía pública,PF6A - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo especial usado principalmente en agricultura y se desconoce si ocurrió en el tránsito y en la vía pública
PF6B,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo especial usado principalmente en plantas industriales y se desconoce si ocurrió en el tránsito y en la vía pública,PF6B - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo especial usado principalmente en plantas industriales y se desconoce si ocurrió en el tránsito y en la vía pública
PF6C,Evento traumático en transporte terrestre de intención no determinada se desconoce si ocurrió en el tránsito por carretera o fuera de la carretera hiriendo a un usuario de un vehículo de construcción especial,PF6C - Evento traumático en transporte terrestre de intención no determinada se desconoce si ocurrió en el tránsito por carretera o fuera de la carretera hiriendo a un usuario de un vehículo de construcción especial
PF6D,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo para todo terreno y se desconoce si ocurrió en el tránsito y en la vía pública,PF6D - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo para todo terreno y se desconoce si ocurrió en el tránsito y en la vía pública
PF6E,Evento de intención no determinada en transporte terrestre que causa traumatismo a persona montada en un animal y se desconoce si ocurrió en el tránsito y en la vía pública,PF6E - Evento de intención no determinada en transporte terrestre que causa traumatismo a persona montada en un animal y se desconoce si ocurrió en el tránsito y en la vía pública
PF6F,Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo de tracción animal y se desconoce si ocurrió en el tránsito y en la vía pública,PF6F - Evento de intención no determinada en transporte terrestre que causa traumatismo a ocupante de vehículo de tracción animal y se desconoce si ocurrió en el tránsito y en la vía pública
PF6Y,Evento de intención no determinada en transporte terrestre que se desconoce si ocurrió en el tránsito y en la vía pública y causa traumatismo a usuario de otro vehículo especificado,PF6Y - Evento de intención no determinada en transporte terrestre que se desconoce si ocurrió en el tránsito y en la vía pública y causa traumatismo a usuario de otro vehículo especificado
PF6Z,Evento de intención no determinada en transporte terrestre que se desconoce si ocurrió en el tránsito y en la vía pública y causa traumatismo a usuario de otro vehículo de tipo desconocido o no especificado,PF6Z - Evento de intención no determinada en transporte terrestre que se desconoce si ocurrió en el tránsito y en la vía pública y causa traumatismo a usuario de otro vehículo de tipo desconocido o no especificado
PF70,Evento de intención no determinada en transporte ferroviario que causa traumatismo con colisión o descarrilamiento,PF70 - Evento de intención no determinada en transporte ferroviario que causa traumatismo con colisión o descarrilamiento
PF71,Evento de intención no determinada en transporte ferroviario que causa traumatismo sin colisión o descarrilamiento,PF71 - Evento de intención no determinada en transporte ferroviario que causa traumatismo sin colisión o descarrilamiento
PF7Z,Evento de intención no determinada en transporte ferroviario que causa traumatismo y es de tipo no especificado,PF7Z - Evento de intención no determinada en transporte ferroviario que causa traumatismo y es de tipo no especificado
PF80,"Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación dañada, averiada o destruida causante de sumersión o ahogamiento","PF80 - Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación dañada, averiada o destruida causante de sumersión o ahogamiento"
PF8Y,"Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación dañada, averiada o destruida causante de otro traumatismo","PF8Y - Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación dañada, averiada o destruida causante de otro traumatismo"
PF8Z,"Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación dañada, averiada o destruida causante de traumatismo no especificado","PF8Z - Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación dañada, averiada o destruida causante de traumatismo no especificado"
PF90,"Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación no dañada, averiada ni destruida causante de sumersión o ahogamiento","PF90 - Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación no dañada, averiada ni destruida causante de sumersión o ahogamiento"
PF9Y,"Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación no dañada, averiada ni destruida, causante de otro traumatismo","PF9Y - Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación no dañada, averiada ni destruida, causante de otro traumatismo"
PF9Z,"Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación no dañada, averiada ni destruida, causante de traumatismo no especificado","PF9Z - Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo con embarcación no dañada, averiada ni destruida, causante de traumatismo no especificado"
PG1Z,Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo; daño a embarcación no especificado,PG1Z - Evento de intención no determinada en transporte marítimo o fluvial que causa traumatismo; daño a embarcación no especificado
PG20,"Evento de intención no determinada en transporte aéreo o espacial que causa traumatismo con aeronave o vehículo espacial dañado, averiado o destruido","PG20 - Evento de intención no determinada en transporte aéreo o espacial que causa traumatismo con aeronave o vehículo espacial dañado, averiado o destruido"
PG21,"Evento de intención no determinada en transporte aéreo o espacial que causa traumatismo con aeronave o vehículo espacial no dañado, averiado ni destruido","PG21 - Evento de intención no determinada en transporte aéreo o espacial que causa traumatismo con aeronave o vehículo espacial no dañado, averiado ni destruido"
PG2Z,Evento de intención no determinada en transporte aéreo o espacial que causa traumatismo; daño a aeronave o vehículo espacial no especificado,PG2Z - Evento de intención no determinada en transporte aéreo o espacial que causa traumatismo; daño a aeronave o vehículo espacial no especificado
PG4Y,Otro evento especificado de intención no determinada en transporte que causa traumatismo,PG4Y - Otro evento especificado de intención no determinada en transporte que causa traumatismo
PG4Z,"Evento de intención no determinada en transporte que causa traumatismo, sin especificación","PG4Z - Evento de intención no determinada en transporte que causa traumatismo, sin especificación"
PG50,Caída o salto de intención no determinada desde el mismo nivel o desde 1 metro de altura o menos,PG50 - Caída o salto de intención no determinada desde el mismo nivel o desde 1 metro de altura o menos
PG51,Caída o salto de intención no determinada desde 1 metro de altura o más,PG51 - Caída o salto de intención no determinada desde 1 metro de altura o más
PG5Z,"Caída o salto de intención no determinada, altura no especificada","PG5Z - Caída o salto de intención no determinada, altura no especificada"
PG60,"Golpe, patada o empujón de intención no determinada por una persona","PG60 - Golpe, patada o empujón de intención no determinada por una persona"
PG61,"Golpe, patada o empujón de intención no determinada por un animal","PG61 - Golpe, patada o empujón de intención no determinada por un animal"
PG62,Persona pisoteada o aplastada con intención no determinada por una persona,PG62 - Persona pisoteada o aplastada con intención no determinada por una persona
PG63,Persona pisoteada o aplastada con intención no determinada por un animal,PG63 - Persona pisoteada o aplastada con intención no determinada por un animal
PG64,Mordedura de intención no determinada por una persona,PG64 - Mordedura de intención no determinada por una persona
PG65,Mordedura de intención no determinada por un animal,PG65 - Mordedura de intención no determinada por un animal
PG66,Arañazo o rasguño de intención no determinada por una persona,PG66 - Arañazo o rasguño de intención no determinada por una persona
PG67,Arañazo o rasguño de intención no determinada por un animal,PG67 - Arañazo o rasguño de intención no determinada por un animal
PG68,Picadura o envenenamiento de intención no determinada por un animal,PG68 - Picadura o envenenamiento de intención no determinada por un animal
PG69,Contacto con planta de intención no determinada,PG69 - Contacto con planta de intención no determinada
PG6Y,"Otro contacto de intención no determinada con persona, animal o planta","PG6Y - Otro contacto de intención no determinada con persona, animal o planta"
PG6Z,"Contacto de intención no determinada con persona, animal o planta, sin especificación","PG6Z - Contacto de intención no determinada con persona, animal o planta, sin especificación"
PG70,Impacto con intención no determinada por proyectil de arma corta,PG70 - Impacto con intención no determinada por proyectil de arma corta
PG71,"Impacto de intención no determinada por proyectil de rifle, escopeta o arma larga","PG71 - Impacto de intención no determinada por proyectil de rifle, escopeta o arma larga"
PG7Y,Lesionado por proyectil de otra arma de fuego especificada de intención no determinada,PG7Y - Lesionado por proyectil de otra arma de fuego especificada de intención no determinada
PG7Z,"Lesionado por proyectil de arma de fuego no especificada de intención, no determinada","PG7Z - Lesionado por proyectil de arma de fuego no especificada de intención, no determinada"
PG80,"Golpe con intención no determinada por objeto en movimiento, no clasificado en otra parte","PG80 - Golpe con intención no determinada por objeto en movimiento, no clasificado en otra parte"
PG81,Golpe con intención no determinada contra objeto estacionario,PG81 - Golpe con intención no determinada contra objeto estacionario
PG90,"Cortadura o perforación con intención no determinada por cuchillo, espada o puñal","PG90 - Cortadura o perforación con intención no determinada por cuchillo, espada o puñal"
PG91,Cortadura o perforación con intención no determinada por vidrio cortante,PG91 - Cortadura o perforación con intención no determinada por vidrio cortante
PG9Z,"Corte o perforación con otro objeto punzante o no especificado, de intención no determinada","PG9Z - Corte o perforación con otro objeto punzante o no especificado, de intención no determinada"
PH00,Golpe con intención no determinada por objeto contundente o romo,PH00 - Golpe con intención no determinada por objeto contundente o romo
PH01,"Persona atrapada, aplastada, atascada o apretada con intención no determinada entre objetos","PH01 - Persona atrapada, aplastada, atascada o apretada con intención no determinada entre objetos"
PH0Y,Contacto con otro objeto especificado no clasificado en otra parte con intención no determinada,PH0Y - Contacto con otro objeto especificado no clasificado en otra parte con intención no determinada
PH0Z,"Exposición a objeto no especificado, no clasificado en otra parte con intención no determinada","PH0Z - Exposición a objeto no especificado, no clasificado en otra parte con intención no determinada"
PH10,Ahogamiento o sumersión con intención no determinada mientras la persona está en un cuerpo de agua,PH10 - Ahogamiento o sumersión con intención no determinada mientras la persona está en un cuerpo de agua
PH11,Ahogamiento o sumersión con intención no determinada posterior a caída en cuerpo de agua,PH11 - Ahogamiento o sumersión con intención no determinada posterior a caída en cuerpo de agua
PH12,Traumatismo o lesión de intención no determinada sin ahogamiento que ocurre mientras la persona está en un cuerpo de agua,PH12 - Traumatismo o lesión de intención no determinada sin ahogamiento que ocurre mientras la persona está en un cuerpo de agua
PH13,Traumatismo o lesión de intención no determinada sin ahogamiento posterior a caída en un cuerpo de agua,PH13 - Traumatismo o lesión de intención no determinada sin ahogamiento posterior a caída en un cuerpo de agua
PH1Z,"Inmersión, sumersión o caída al agua con intención no determinada, sin especificar","PH1Z - Inmersión, sumersión o caída al agua con intención no determinada, sin especificar"
PH20,Amenaza de intención no determinada a la respiración por asfixia causada por objeto que cubre la boca o la nariz,PH20 - Amenaza de intención no determinada a la respiración por asfixia causada por objeto que cubre la boca o la nariz
PH21,Amenaza de intención no determinada a la respiración por ahorcamiento,PH21 - Amenaza de intención no determinada a la respiración por ahorcamiento
PH22,Amenaza de intención no determinada a la respiración por estrangulamiento,PH22 - Amenaza de intención no determinada a la respiración por estrangulamiento
PH23,Amenaza de intención no determinada a la respiración por comprensión externa de las vías respiratorias o el tórax,PH23 - Amenaza de intención no determinada a la respiración por comprensión externa de las vías respiratorias o el tórax
PH24,Amenaza de intención no determinada a la respiración por inhalación o ingestión de líquidos,PH24 - Amenaza de intención no determinada a la respiración por inhalación o ingestión de líquidos
PH25,Amenaza de intención no determinada a la respiración por inhalación o ingestión de alimentos,PH25 - Amenaza de intención no determinada a la respiración por inhalación o ingestión de alimentos
PH26,Amenaza de intención no determinada a la respiración por inhalación o ingestión de otros objetos o materiales,PH26 - Amenaza de intención no determinada a la respiración por inhalación o ingestión de otros objetos o materiales
PH27,Amenaza de intención no determinada a la respiración por entorno con poco oxígeno,PH27 - Amenaza de intención no determinada a la respiración por entorno con poco oxígeno
PH2Y,Otra amenaza especificada de intención no determinada a la respiración,PH2Y - Otra amenaza especificada de intención no determinada a la respiración
PH2Z,"Amenaza de intención no determinada a la respiración, sin especificación","PH2Z - Amenaza de intención no determinada a la respiración, sin especificación"
PH30,Exposición de intención no determinada a fuego no controlado,PH30 - Exposición de intención no determinada a fuego no controlado
PH31,Exposición de intención no determinada a fuego controlado,PH31 - Exposición de intención no determinada a fuego controlado
PH32,Exposición de intención no determinada a la ignición o la fundición de materiales,PH32 - Exposición de intención no determinada a la ignición o la fundición de materiales
PH33,Contacto de intención no determinada con objeto o liquido caliente,PH33 - Contacto de intención no determinada con objeto o liquido caliente
PH34,Contacto de intención no determinada con vapor aire o gases calientes,PH34 - Contacto de intención no determinada con vapor aire o gases calientes
PH35,Exposición de intención no determinada a calor excesivo,PH35 - Exposición de intención no determinada a calor excesivo
PH36,Exposición de intención no determinada a frío excesivo,PH36 - Exposición de intención no determinada a frío excesivo
PH3Y,Exposición de intención no determinada a otro mecanismo térmico especificado,PH3Y - Exposición de intención no determinada a otro mecanismo térmico especificado
PH3Z,"Exposición de intención no determinada a mecanismo térmico, sin especificación","PH3Z - Exposición de intención no determinada a mecanismo térmico, sin especificación"
PH40,Exposición de intención no determinada a opioides o analgésicos relacionados o a sus efectos nocivos,PH40 - Exposición de intención no determinada a opioides o analgésicos relacionados o a sus efectos nocivos
PH41,Exposición de intención no determinada a sedantes hipnóticos u otros depresores del sistema nervioso central o a sus efectos nocivos,PH41 - Exposición de intención no determinada a sedantes hipnóticos u otros depresores del sistema nervioso central o a sus efectos nocivos
PH42,Exposición de intención no determinada a psicoestimulantes o sus efectos nocivos,PH42 - Exposición de intención no determinada a psicoestimulantes o sus efectos nocivos
PH43,Exposición no determinada a canabinoides o alucinógenos o a sus efectos nocivos,PH43 - Exposición no determinada a canabinoides o alucinógenos o a sus efectos nocivos
PH44,"Exposición a o efectos adversos con intención no determinada de analgésicos, antipiréticos o medicamentos anti inflamatorios no esteroideos","PH44 - Exposición a o efectos adversos con intención no determinada de analgésicos, antipiréticos o medicamentos anti inflamatorios no esteroideos"
PH45,Exposición de intención no determinada a antidepresivos o sus efectos nocivos,PH45 - Exposición de intención no determinada a antidepresivos o sus efectos nocivos
PH46,Exposición de intención no determinada a antipsicóticos o a sus efectos nocivos,PH46 - Exposición de intención no determinada a antipsicóticos o a sus efectos nocivos
PH47,Exposición de intención no determinada a antiepilépticos o antiparkinsonianos o a sus efectos nocivos,PH47 - Exposición de intención no determinada a antiepilépticos o antiparkinsonianos o a sus efectos nocivos
PH47.0,Exposición de intención no determinada a antiepilépticos mixtos no clasificados en otra parte,PH47.0 - Exposición de intención no determinada a antiepilépticos mixtos no clasificados en otra parte
PH47.Z,"Intención no determinada: exposición a sustancias nocivas o sus efectos dañinos: fármacos, medicamentos o sustancias biológicas: antiepilépticos o antiparkinsonianos no especificados","PH47.Z - Intención no determinada: exposición a sustancias nocivas o sus efectos dañinos: fármacos, medicamentos o sustancias biológicas: antiepilépticos o antiparkinsonianos no especificados"
PH48,"Exposición de intención no determinada a fármacos, medicamentos o sustancias biológicas de otro tipo o no especificados","PH48 - Exposición de intención no determinada a fármacos, medicamentos o sustancias biológicas de otro tipo o no especificados"
PH49,"Exposición a o efectos adversos de intención no determinada de múltiples drogas, medicamentos o sustancias biológicas","PH49 - Exposición a o efectos adversos de intención no determinada de múltiples drogas, medicamentos o sustancias biológicas"
PH50,Exposición de intención no determinada a alcoholes o a sus efectos nocivos,PH50 - Exposición de intención no determinada a alcoholes o a sus efectos nocivos
PH51,Exposición de intención no determinada a disolventes orgánicos o a sus efectos nocivos,PH51 - Exposición de intención no determinada a disolventes orgánicos o a sus efectos nocivos
PH52,Exposición de intención no determinada al monóxido de carbono y a sus efectos nocivos,PH52 - Exposición de intención no determinada al monóxido de carbono y a sus efectos nocivos
PH53,Exposición de intención no determinada a plaguicidas o a sus efectos nocivos,PH53 - Exposición de intención no determinada a plaguicidas o a sus efectos nocivos
PH54,Exposición de intención no determinada a sustancias corrosivas,PH54 - Exposición de intención no determinada a sustancias corrosivas
PH55,Exposición de intención no determinada a derivados halogenados de los hidrocarburos alifáticos o aromáticos o a sus efectos nocivos,PH55 - Exposición de intención no determinada a derivados halogenados de los hidrocarburos alifáticos o aromáticos o a sus efectos nocivos
PH56,Exposición de intención no determinada a sustancias de otro tipo o no especificadas de procedencia principalmente no medicinal o a sus efectos nocivos,PH56 - Exposición de intención no determinada a sustancias de otro tipo o no especificadas de procedencia principalmente no medicinal o a sus efectos nocivos
PH70,Exposición de intención no determinada a cuerpo extraño en orificio corporal o en un ojo,PH70 - Exposición de intención no determinada a cuerpo extraño en orificio corporal o en un ojo
PH71,Exposición a corriente eléctrica con intención no determinada,PH71 - Exposición a corriente eléctrica con intención no determinada
PH72,Exposición de intención no determinada a la luz solar,PH72 - Exposición de intención no determinada a la luz solar
PH73,Exposición de intención no determinada a la radiación,PH73 - Exposición de intención no determinada a la radiación
PH74,Exposición de intención no determinada a presión de aire alta o baja o a cambios en la presión del aire,PH74 - Exposición de intención no determinada a presión de aire alta o baja o a cambios en la presión del aire
PH75,Exposición de intención no determinada a explosión,PH75 - Exposición de intención no determinada a explosión
PH75.0,Exposición de intención no determinada a explosión química,PH75.0 - Exposición de intención no determinada a explosión química
PH75.1,Exposición de intención no determinada a explosión o ruptura de materiales u objetos presurizados,PH75.1 - Exposición de intención no determinada a explosión o ruptura de materiales u objetos presurizados
PH75.Y,Otra exposición especificada de intención no determinada a explosión,PH75.Y - Otra exposición especificada de intención no determinada a explosión
PH75.Z,"Exposición de intención no determinada a explosión, sin especificación","PH75.Z - Exposición de intención no determinada a explosión, sin especificación"
PH76,Esfuerzo físico excesivo de intención no determinada,PH76 - Esfuerzo físico excesivo de intención no determinada
PH77,Privación de alimentos de intención no determinada,PH77 - Privación de alimentos de intención no determinada
PH78,Privación de agua de intención no determinada,PH78 - Privación de agua de intención no determinada
PH79,Otra privación especificada con intención no determinada,PH79 - Otra privación especificada con intención no determinada
PH7A,Abandono con intención no determinada,PH7A - Abandono con intención no determinada
PH7B,Negligencia con intención no determinada,PH7B - Negligencia con intención no determinada
PH8Y,Otra lesión especificada de intención no determinada,PH8Y - Otra lesión especificada de intención no determinada
PH8Z,"Lesión de intención no determinada, sin especificación","PH8Z - Lesión de intención no determinada, sin especificación"
PJ00,Víctima de rayo,PJ00 - Víctima de rayo
PJ01,Víctima de terremoto,PJ01 - Víctima de terremoto
PJ02,Víctima de movimientos catastróficos de tierra causados por terremoto,PJ02 - Víctima de movimientos catastróficos de tierra causados por terremoto
PJ03,Víctima de tsunami,PJ03 - Víctima de tsunami
PJ04,Victima de erupción volcánica,PJ04 - Victima de erupción volcánica
PJ05,"Víctima de avalancha, derrumbe u otro movimiento de tierra","PJ05 - Víctima de avalancha, derrumbe u otro movimiento de tierra"
PJ06,Víctima de tormenta cataclísmica,PJ06 - Víctima de tormenta cataclísmica
PJ07,Víctima de inundación,PJ07 - Víctima de inundación
PJ0Y,Exposición a otras fuerzas especificadas de la naturaleza,PJ0Y - Exposición a otras fuerzas especificadas de la naturaleza
PJ0Z,"Exposición a fuerzas de la naturaleza, sin especificación","PJ0Z - Exposición a fuerzas de la naturaleza, sin especificación"
PJ20,Maltrato físico,PJ20 - Maltrato físico
PJ21,Maltrato sexual,PJ21 - Maltrato sexual
PJ22,Maltrato psicológico,PJ22 - Maltrato psicológico
PJ2Y,Otro maltrato especificado,PJ2Y - Otro maltrato especificado
PJ2Z,"Maltrato, sin especificación","PJ2Z - Maltrato, sin especificación"
PJ40,Intervención legal con proyectil de arma de fuego,PJ40 - Intervención legal con proyectil de arma de fuego
PJ41,Intervención legal con otro proyectil,PJ41 - Intervención legal con otro proyectil
PJ42,Intervención legal con objeto contundente,PJ42 - Intervención legal con objeto contundente
PJ43,Intervención legal con objeto punzante,PJ43 - Intervención legal con objeto punzante
PJ44,Intervención legal con arma eléctrica,PJ44 - Intervención legal con arma eléctrica
PJ45,Intervención legal con explosivo,PJ45 - Intervención legal con explosivo
PJ46,Intervención legal con gas,PJ46 - Intervención legal con gas
PJ47,Intervención legal con aplicación de la fuerza física,PJ47 - Intervención legal con aplicación de la fuerza física
PJ4Y,Otra intervención legal especificada,PJ4Y - Otra intervención legal especificada
PJ4Z,"Intervención legal, sin especificación","PJ4Z - Intervención legal, sin especificación"
PJ60,Explosión de carga de profundidad o mina marina en conflicto armado,PJ60 - Explosión de carga de profundidad o mina marina en conflicto armado
PJ61,Explosión de torpedo en conflicto armado,PJ61 - Explosión de torpedo en conflicto armado
PJ62,Explosión de proyectiles de artillería en el mar en conflicto armado,PJ62 - Explosión de proyectiles de artillería en el mar en conflicto armado
PJ6Y,Otra explosión de armas marítimas especificadas en conflicto armado,PJ6Y - Otra explosión de armas marítimas especificadas en conflicto armado
PJ6Z,"Explosión de armas marítimas en conflicto armado, sin especificación","PJ6Z - Explosión de armas marítimas en conflicto armado, sin especificación"
PJ70,Ataque aeronave o destrucción de aeronave en conflicto armado debido a fuego o explosivos del enemigo,PJ70 - Ataque aeronave o destrucción de aeronave en conflicto armado debido a fuego o explosivos del enemigo
PJ71,Ataque o destrucción de aeronave en conflicto armado debido a colisión con otra aeronave,PJ71 - Ataque o destrucción de aeronave en conflicto armado debido a colisión con otra aeronave
PJ7Y,Otra destrucción de aeronave en conflicto armado,PJ7Y - Otra destrucción de aeronave en conflicto armado
PJ7Z,"Destrucción de aeronave en conflicto armado, sin especificación","PJ7Z - Destrucción de aeronave en conflicto armado, sin especificación"
PJ80,Explosión de misil en conflicto armado,PJ80 - Explosión de misil en conflicto armado
PJ81,Explosión de bomba aérea en conflicto armado,PJ81 - Explosión de bomba aérea en conflicto armado
PJ82,Explosión de municiones o armas en conflicto armado,PJ82 - Explosión de municiones o armas en conflicto armado
PJ83,Explosión de dispositivo explosivo improvisado en conflicto armado,PJ83 - Explosión de dispositivo explosivo improvisado en conflicto armado
PJ8Y,Otras explosiones o fragmentos especificados en conflicto armado,PJ8Y - Otras explosiones o fragmentos especificados en conflicto armado
PJ8Z,"Otras explosiones o fragmentos en conflicto armado, sin especificación","PJ8Z - Otras explosiones o fragmentos en conflicto armado, sin especificación"
PJ90,Uso de bomba molotov en conflicto armado,PJ90 - Uso de bomba molotov en conflicto armado
PJ91,Uso de lanzallamas en conflicto armado,PJ91 - Uso de lanzallamas en conflicto armado
PJ92,Uso de balas incendiarias en conflicto armado,PJ92 - Uso de balas incendiarias en conflicto armado
PJ9Y,"Otros incendios, conflagraciones o sustancias calientes especificados en conflicto armado","PJ9Y - Otros incendios, conflagraciones o sustancias calientes especificados en conflicto armado"
PJ9Z,"Incendios, conflagraciones o sustancias calientes en conflicto armado, sin especificación","PJ9Z - Incendios, conflagraciones o sustancias calientes en conflicto armado, sin especificación"
PK00,Uso de balas de goma en conflicto armado,PK00 - Uso de balas de goma en conflicto armado
PK01,Uso de perdigones de armas de fuego en conflicto armado,PK01 - Uso de perdigones de armas de fuego en conflicto armado
PK02,Disparos de otras armas de fuego en conflicto armado,PK02 - Disparos de otras armas de fuego en conflicto armado
PK03,Otras armas utilizadas en conflicto armado,PK03 - Otras armas utilizadas en conflicto armado
PK04,Combate sin armas en conflicto armado,PK04 - Combate sin armas en conflicto armado
PK0Y,Otro(a)(s) descarga de arma de fuego u otras formas de guerra convencional en conflicto armado especificado(a)(s),PK0Y - Otro(a)(s) descarga de arma de fuego u otras formas de guerra convencional en conflicto armado especificado(a)(s)
PK0Z,"Descarga de arma de fuego u otras formas de guerra convencional en conflicto armado, sin especificación","PK0Z - Descarga de arma de fuego u otras formas de guerra convencional en conflicto armado, sin especificación"
PK10,Efectos térmicos o efecto de la onda expansiva de armas nucleares en conflicto armado,PK10 - Efectos térmicos o efecto de la onda expansiva de armas nucleares en conflicto armado
PK11,Efectos de la radiación nuclear de armas nucleares en conflicto armado,PK11 - Efectos de la radiación nuclear de armas nucleares en conflicto armado
PK1Y,Otro(a)(s) uso de arma nuclear en conflicto armado especificado(a)(s),PK1Y - Otro(a)(s) uso de arma nuclear en conflicto armado especificado(a)(s)
PK1Z,"Uso de arma nuclear en conflicto armado, sin especificación","PK1Z - Uso de arma nuclear en conflicto armado, sin especificación"
PK20,Uso de microorganismos como arma en conflicto armado,PK20 - Uso de microorganismos como arma en conflicto armado
PK2Y,Otro uso de armas biológicas especificadas en un conflicto armado,PK2Y - Otro uso de armas biológicas especificadas en un conflicto armado
PK2Z,"Uso de armas biológicas en un conflicto armado, sin especificación","PK2Z - Uso de armas biológicas en un conflicto armado, sin especificación"
PK30,Uso de armas químicas durante conflicto armado,PK30 - Uso de armas químicas durante conflicto armado
PK31,Uso de rayos láser u otros campos o rayos energéticos en conflicto armado,PK31 - Uso de rayos láser u otros campos o rayos energéticos en conflicto armado
PK32,Uso de armas eléctricas durante un conflicto armado,PK32 - Uso de armas eléctricas durante un conflicto armado
PK33,Uso de máquinas autónomas o semiautónomas como armas en conflicto armado,PK33 - Uso de máquinas autónomas o semiautónomas como armas en conflicto armado
PK3Y,Otro(a)(s) armas químicas u otras formas de guerra no convencional en conflicto armado especificado(a)(s),PK3Y - Otro(a)(s) armas químicas u otras formas de guerra no convencional en conflicto armado especificado(a)(s)
PK3Z,"Armas químicas u otras formas de guerra no convencional en conflicto armado, sin especificación","PK3Z - Armas químicas u otras formas de guerra no convencional en conflicto armado, sin especificación"
PK40,Explosión de mina después del cese del conflicto armado,PK40 - Explosión de mina después del cese del conflicto armado
PK41,Explosión de bomba después del cese del conflicto armado,PK41 - Explosión de bomba después del cese del conflicto armado
PK4Z,"Lesiones ocurridas después del cese de un conflicto armado, sin especificación","PK4Z - Lesiones ocurridas después del cese de un conflicto armado, sin especificación"
PK6Y,Otro conflicto o ataque armado especificado,PK6Y - Otro conflicto o ataque armado especificado
PK6Z,"Conflicto o ataque armado, sin especificación","PK6Z - Conflicto o ataque armado, sin especificación"
